time,epoch,step,loss,rest,state,clean,lr,peak_gb
1784367942.3528476,111,182900,0.012636055238544941,0.012636055238544941,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367959.966664,111,182950,0.013966966420412064,0.013966966420412064,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367977.803749,111,183000,0.01220263447612524,0.01220263447612524,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367996.081676,111,183050,0.01254979707300663,0.01254979707300663,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368013.7392929,111,183100,0.012351958081126213,0.012351958081126213,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368031.381351,111,183150,0.01407521590590477,0.01407521590590477,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368049.0162961,111,183200,0.012573229148983955,0.012573229148983955,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368066.6462967,111,183250,0.013947791419923306,0.013947791419923306,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368084.5906613,111,183300,0.011610052548348904,0.011610052548348904,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368102.221353,111,183350,0.012129132635891438,0.012129132635891438,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368119.8456478,111,183400,0.014783713966608047,0.014783713966608047,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368137.489426,111,183450,0.012386046350002289,0.012386046350002289,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368155.1169677,111,183500,0.010978076606988907,0.010978076606988907,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368172.748819,111,183550,0.013355924747884274,0.013355924747884274,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368190.3667483,111,183600,0.011867295950651169,0.011867295950651169,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368207.9507349,111,183650,0.01167641207575798,0.01167641207575798,0.0,0.0,0.00013784110500423104,20.501578330993652
1784368227.123375,112,183700,0.013390590436756611,0.013390590436756611,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368244.7317135,112,183750,0.014122202061116695,0.014122202061116695,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368262.3526165,112,183800,0.012298079207539558,0.012298079207539558,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368279.9877288,112,183850,0.01291702315211296,0.01291702315211296,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368297.6047266,112,183900,0.01311479602009058,0.01311479602009058,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368315.226521,112,183950,0.0156569704413414,0.0156569704413414,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368332.8383567,112,184000,0.011065127328038216,0.011065127328038216,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368351.2317202,112,184050,0.01352531649172306,0.01352531649172306,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368368.8639705,112,184100,0.011600499972701073,0.011600499972701073,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368386.485576,112,184150,0.011031731963157654,0.011031731963157654,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368404.1120265,112,184200,0.014003735035657883,0.014003735035657883,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368421.737524,112,184250,0.011188365519046783,0.011188365519046783,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368439.3650854,112,184300,0.01145749818533659,0.01145749818533659,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368456.981096,112,184350,0.012485822662711143,0.012485822662711143,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368474.6046884,112,184400,0.013243267312645912,0.013243267312645912,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368492.2339408,112,184450,0.01251143403351307,0.01251143403351307,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368509.8638449,112,184500,0.010695808567106724,0.010695808567106724,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368527.4865,112,184550,0.01492706872522831,0.01492706872522831,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368545.1093287,112,184600,0.012674205005168915,0.012674205005168915,0.0,0.0,0.00013669787916496722,20.501578330993652
1784368562.7402804,112,184650,0.01365379523485899,0.01365379523485899,0.0,0.0,0.00013669787916496722,20.501578330993652
