task,name,psnr,ssim
dehaze,0003_0.8_0.2,36.32205739699665,0.9904003739356995
dehaze,0004_0.9_0.12,39.260917496649,0.9925315380096436
dehaze,0006_0.85_0.08,32.811936932694316,0.99041348695755
dehaze,0007_0.9_0.16,28.665628170898753,0.9835271835327148
dehaze,0009_0.8_0.16,29.83400756103538,0.9752646088600159
dehaze,0010_0.95_0.16,30.265285121484197,0.9728517532348633
dehaze,0011_0.95_0.16,30.965809494352776,0.9667668342590332
dehaze,0014_0.8_0.12,21.711078599965038,0.9716833233833313
dehaze,0016_0.8_0.08,26.098953209386377,0.977783739566803
dehaze,0017_0.9_0.08,38.27720151022665,0.9934479594230652
dehaze,0018_0.9_0.2,34.25464177907553,0.9887409806251526
dehaze,0019_0.8_0.16,27.376327489204936,0.9810821413993835
dehaze,0021_0.8_0.08,26.16336998878451,0.9822656512260437
dehaze,0022_0.8_0.08,21.05261200378772,0.9469180703163147
dehaze,0023_0.85_0.12,27.097875745028958,0.9378239512443542
dehaze,0024_0.85_0.08,34.124207340698106,0.9792307019233704
dehaze,0025_0.8_0.16,34.89561434446349,0.9870885014533997
dehaze,0026_0.95_0.08,34.90738607300005,0.9894594550132751
dehaze,0029_0.85_0.08,30.72486958934161,0.9856395125389099
dehaze,0030_0.95_0.12,34.49573628001693,0.9905080199241638
dehaze,0033_0.85_0.08,29.74053214132871,0.9858627915382385
dehaze,0034_0.9_0.16,26.174005271545575,0.9663634896278381
dehaze,0036_1_0.08,23.171450924110502,0.960982620716095
dehaze,0039_0.9_0.2,34.191249659612765,0.9836924076080322
dehaze,0040_1_0.08,35.403144703900956,0.9931542873382568
dehaze,0042_0.8_0.2,30.422351669606243,0.985081672668457
dehaze,0045_0.8_0.16,23.37191031629125,0.9767007231712341
dehaze,0046_0.9_0.16,30.263487785709362,0.9800850749015808
dehaze,0047_0.9_0.12,36.73503790456091,0.992968738079071
dehaze,0048_0.9_0.2,25.279326760512994,0.9824581742286682
dehaze,0049_0.85_0.12,31.17338458353376,0.9933695793151855
dehaze,0051_0.8_0.2,34.77919312864008,0.9879353642463684
dehaze,0051_0.95_0.12,37.54448442118932,0.9905024170875549
dehaze,0052_0.9_0.16,25.718469959727067,0.9708085060119629
dehaze,0053_0.9_0.12,28.65359349414737,0.9750189781188965
dehaze,0054_0.85_0.16,37.03601453576149,0.987957775592804
dehaze,0055_0.85_0.12,36.9970651890874,0.9919137954711914
dehaze,0056_0.8_0.16,31.452074358254833,0.9892584681510925
dehaze,0057_0.8_0.12,26.832208513860543,0.9876477122306824
dehaze,0058_0.8_0.2,33.2626442213883,0.9856074452400208
dehaze,0059_0.9_0.12,30.04649366753654,0.9875141978263855
dehaze,0060_0.9_0.2,29.9867186783395,0.9748454689979553
dehaze,0061_0.8_0.2,29.077642210298855,0.9783551692962646
dehaze,0062_0.9_0.2,27.370077547302543,0.9738326072692871
dehaze,0063_0.8_0.16,23.211406279036318,0.9691856503486633
dehaze,0064_0.8_0.2,31.172273186334067,0.9772448539733887
dehaze,0065_0.9_0.12,31.470177599601755,0.9901483058929443
dehaze,0066_1_0.08,37.267713040305864,0.9948700070381165
dehaze,0068_1_0.16,26.100033578298852,0.9710676670074463
dehaze,0069_0.9_0.16,25.920503012138603,0.9591233730316162
