protocol,scope,run_name,stage,model_kind,feedback,seed,epoch,step,task,metric,value,n,source_path,source_sha256,manifest_path,manifest_sha256,ledger_path,ledger_sha256
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,dehaze,psnr,35.62391588164539,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,denoise15,psnr,35.086664755367536,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,denoise25,psnr,32.60324305932499,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,denoise50,psnr,29.289154756416394,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,derain,psnr,36.1239953994751,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,55,118305,five_setting_mean,psnr,33.745394770445884,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,60,124040,dehaze,psnr,35.94617723604528,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,60,124040,denoise15,psnr,35.128078479211304,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,60,124040,denoise25,psnr,32.65885710484773,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,60,124040,denoise50,psnr,29.3434496388852,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
